,날짜,조정단계,지역,해당조정단계_감염자비율
0,2020-08-22,0.3333333333333333,강원,4.65969838923546e-06
2,2020-10-11,0.6666666666666666,강원,4.933798294484605e-07
4,2020-11-30,0.3333333333333333,강원,7.784437309075711e-06
6,2020-12-06,0.5,강원,8.113357195374683e-06
8,2021-02-14,0.6666666666666666,강원,3.6729387303385393e-06
10,2021-06-13,0.5,강원,4.385598483986315e-06
12,2020-08-22,0.3333333333333333,경기,4.416994338728958e-06
14,2020-10-11,0.6666666666666666,경기,1.3658223628977488e-06
16,2020-11-30,0.3333333333333333,경기,6.371749280123902e-06
18,2020-12-06,0.5,경기,8.752540554899794e-06
20,2021-02-14,0.6666666666666666,경기,6.94188613803076e-06
22,2021-06-13,0.5,경기,3.7466136376736407e-06
24,2020-08-22,0.3333333333333333,경남,1.0705436479566509e-06
26,2020-10-11,0.6666666666666666,경남,4.9792727811937246e-08
28,2020-11-30,0.3333333333333333,경남,4.008314588860949e-06
30,2020-12-06,0.5,경남,4.232381864014667e-06
32,2021-02-14,0.6666666666666666,경남,1.3693000148282744e-06
34,2021-06-13,0.5,경남,3.2863200355878584e-06
36,2020-08-22,0.3333333333333333,경북,8.432796607692058e-07
38,2020-10-11,0.6666666666666666,경북,0.0
40,2020-11-30,0.3333333333333333,경북,2.1238154419372596e-06
42,2020-12-06,0.5,경북,2.842164782592509e-06
44,2021-02-14,0.6666666666666666,경북,3.435583803133802e-06
46,2021-06-13,0.5,경북,9.994425609116515e-07
48,2020-08-22,0.3333333333333333,광주,6.209178844488598e-06
50,2020-10-11,0.6666666666666666,광주,5.593854814854593e-08
52,2020-11-30,0.3333333333333333,광주,5.481977718557501e-06
54,2020-12-06,0.5,광주,4.754776592626403e-06
56,2021-02-14,0.6666666666666666,광주,3.8038212741011232e-06
58,2021-06-13,0.5,광주,1.1747095111194645e-06
60,2020-08-22,0.3333333333333333,대구,2.057663975242187e-06
62,2020-10-11,0.6666666666666666,대구,3.429439958736979e-08
64,2020-11-30,0.3333333333333333,대구,1.3374815839074214e-06
66,2020-12-06,0.5,대구,3.875267153372786e-06
68,2021-02-14,0.6666666666666666,대구,3.8409727537854154e-06
70,2021-06-13,0.5,대구,5.658575931916014e-06
72,2020-08-22,0.3333333333333333,대전,3.2803167429368114e-06
74,2020-10-11,0.6666666666666666,대전,2.0571477879434236e-06
76,2020-11-30,0.3333333333333333,대전,4.725880053383541e-06
78,2020-12-06,0.5,대전,7.116619374506979e-06
80,2021-02-14,0.6666666666666666,대전,2.390739321123438e-06
82,2021-06-13,0.5,대전,7.450210907686993e-06
84,2020-08-22,0.3333333333333333,부산,1.6554530723034696e-06
86,2020-10-11,0.6666666666666666,부산,2.075493404081962e-06
88,2020-11-30,0.3333333333333333,부산,8.20314059708585e-06
90,2020-12-06,0.5,부산,9.735052395336822e-06
92,2021-02-14,0.6666666666666666,부산,5.238150019825904e-06
94,2021-06-13,0.5,부산,2.394188718406651e-06
96,2020-08-22,0.3333333333333333,서울,1.2647559325352387e-05
98,2020-10-11,0.6666666666666666,서울,1.9624032582740886e-06
100,2020-11-30,0.3333333333333333,서울,2.0523107203271745e-05
102,2020-12-06,0.5,서울,2.625470790915598e-05
104,2021-02-14,0.6666666666666666,서울,1.5388007928316643e-05
106,2021-06-13,0.5,서울,9.915755670662466e-06
108,2020-08-22,0.3333333333333333,울산,9.472247190094302e-07
110,2020-10-11,0.6666666666666666,울산,7.286343992380232e-08
112,2020-11-30,0.3333333333333333,울산,9.617974069941908e-06
114,2020-12-06,0.5,울산,1.2022467587427385e-05
116,2021-02-14,0.6666666666666666,울산,3.2788547965711048e-06
118,2021-06-13,0.5,울산,2.8416741570282913e-06
120,2020-08-22,0.3333333333333333,인천,7.762475257462956e-06
122,2020-10-11,0.6666666666666666,인천,1.3549047722117158e-06
124,2020-11-30,0.3333333333333333,인천,8.948016933148209e-06
126,2020-12-06,0.5,인천,1.2984504067028944e-05
128,2021-02-14,0.6666666666666666,인천,8.468154826323224e-06
130,2021-06-13,0.5,인천,3.2178988340028252e-06
132,2020-08-22,0.3333333333333333,전남,3.962608638412242e-06
134,2020-10-11,0.6666666666666666,전남,1.3985677547337327e-07
136,2020-11-30,0.3333333333333333,전남,3.5896572371499125e-06
138,2020-12-06,0.5,전남,2.517421958520718e-06
140,2021-02-14,0.6666666666666666,전남,2.470803033362927e-06
142,2021-06-13,0.5,전남,1.6316623805226874e-06
144,2020-08-22,0.3333333333333333,전북,7.376985538710824e-07
146,2020-10-11,0.6666666666666666,전북,5.993800750202544e-07
148,2020-11-30,0.3333333333333333,전북,5.763269952117832e-06
150,2020-12-06,0.5,전북,4.564509802077323e-06
152,2021-02-14,0.6666666666666666,전북,1.7520340654438204e-06
154,2021-06-13,0.5,전북,6.915923942541399e-07
156,2020-08-22,0.3333333333333333,제주,1.3783466256069737e-06
