조정단계,지역,해당조정단계_감염자비율
0.3333333333333333,강원,2.439489156717388e-06
0.3333333333333333,경기,1.3658223628977488e-06
0.3333333333333333,경남,4.9792727811937246e-08
0.3333333333333333,경북,0.0
0.3333333333333333,광주,5.593854814854593e-08
0.3333333333333333,대구,3.429439958736979e-08
0.3333333333333333,대전,2.0571477879434236e-06
0.3333333333333333,부산,2.075493404081962e-06
0.3333333333333333,서울,1.9624032582740886e-06
0.3333333333333333,울산,7.286343992380232e-08
0.3333333333333333,인천,1.3549047722117158e-06
0.3333333333333333,전남,2.330946257889554e-06
0.3333333333333333,전북,5.993800750202544e-07
0.3333333333333333,제주,0.0
0.3333333333333333,충남,2.2845143282454154e-07
0.3333333333333333,충북,1.0229071881529345e-07
0.5,강원,5.728688019707125e-06
0.5,경기,2.9947848140602015e-06
0.5,경남,2.688807301844612e-06
0.5,경북,2.779699622535531e-06
0.5,광주,4.782745866700678e-06
0.5,대구,2.5892271688464184e-06
0.5,대전,4.651748601565759e-06
0.5,부산,6.119411108067054e-06
0.5,서울,9.643439800020908e-06
0.5,울산,6.5577095931422095e-06
0.5,인천,5.3913919060924535e-06
0.5,전남,4.475416815147944e-06
0.5,전북,3.388802731845285e-06
0.5,제주,2.2554762964477753e-06
0.5,충남,5.520909626593088e-06
0.5,충북,4.372928229353795e-06
0.6666666666666666,강원,6.386527792305072e-06
0.6666666666666666,경기,4.177348901202174e-06
0.6666666666666666,경남,2.477188208643878e-06
0.6666666666666666,경북,1.8739548017093465e-06
0.6666666666666666,광주,5.4819777185575e-06
0.6666666666666666,대구,7.236118312935024e-06
0.6666666666666666,대전,7.746736714958119e-06
0.6666666666666666,부산,8.234025915598975e-06
0.6666666666666666,서울,1.1173595644578236e-05
0.6666666666666666,울산,1.2241057907198791e-05
0.6666666666666666,인천,5.807742851720012e-06
0.6666666666666666,전남,3.24001529846648e-06
0.6666666666666666,전북,2.328361060655604e-06
0.6666666666666666,제주,8.31184783320569e-06
0.6666666666666666,충남,4.530953417686741e-06
0.6666666666666666,충북,3.6057478382390943e-06
0.8333333333333334,경기,6.493921463961085e-06
0.8333333333333334,부산,1.0896340371430302e-05
0.8333333333333334,서울,1.847857693639147e-05
0.8333333333333334,인천,1.0034763469193021e-05
