날짜,해당조정단계_감염자비율,조정단계,지역
2020-08-15,1.7292062943109113e-06,0.3333333333333333,경기
2020-08-16,4.586155824041982e-06,0.5,경기
2020-08-18,3.3832297062604788e-06,0.5,경기
2020-08-19,4.573625343648425e-06,0.6666666666666666,경기
2020-08-29,4.247832853415934e-06,0.6666666666666666,경기
2020-08-30,2.8569495297310704e-06,0.8333333333333334,경기
2020-09-13,1.904633019820714e-06,0.8333333333333334,경기
2020-09-14,1.378352843291306e-06,0.6666666666666666,경기
2020-10-11,1.5036576472268794e-06,0.6666666666666666,경기
2020-10-12,1.2279870785686184e-06,0.3333333333333333,경기
2020-11-18,2.293077912020991e-06,0.3333333333333333,경기
2020-11-19,3.370699225866921e-06,0.5,경기
2020-11-23,3.2203334611442337e-06,0.5,경기
2020-11-24,5.074844559390718e-06,0.6666666666666666,경기
2020-12-07,7.668654000857085e-06,0.6666666666666666,경기
2020-12-08,1.1202249471840252e-05,0.8333333333333334,경기
2021-02-14,5.8642648241848296e-06,0.8333333333333334,경기
2021-02-15,8.01950745187669e-06,0.6666666666666666,경기
