날짜,해당조정단계_감염자비율,조정단계,지역
2020-08-22,3.1135209763468034e-06,0.3333333333333333,대전
2020-08-23,3.447112509526819e-06,0.6666666666666666,대전
2020-10-11,2.1127463768067593e-06,0.6666666666666666,대전
2020-10-12,2.001549199080088e-06,0.3333333333333333,대전
2020-11-30,4.003098398160176e-06,0.3333333333333333,대전
2020-12-01,5.448661708606906e-06,0.5,대전
2020-12-07,5.448661708606906e-06,0.5,대전
2020-12-08,6.671830663600293e-06,0.6666666666666666,대전
2021-02-14,1.4455633104467303e-06,0.6666666666666666,대전
2021-02-15,3.3359153318001466e-06,0.5,대전
2021-04-07,1.8013942791720793e-05,0.5,대전
2021-04-08,9.785351639947097e-06,0.6666666666666666,대전
2021-04-26,6.115844774966935e-06,0.6666666666666666,대전
2021-04-27,7.561408085413664e-06,0.5,대전
