date,avg_infect_ratio,stage,area
2020-08-22,9.22123192338853e-07,0.3333333333333333,傈合
2020-08-23,5.532739154033119e-07,0.6666666666666666,傈合
2020-10-11,1.1987601500405089e-06,0.6666666666666666,傈合
2020-10-12,0.0,0.3333333333333333,傈合
2020-11-30,6.362650027138087e-06,0.3333333333333333,傈合
2020-12-01,5.163889877097578e-06,0.5,傈合
2020-12-06,5.440526834799234e-06,0.5,傈合
2020-12-07,3.688492769355412e-06,0.6666666666666666,傈合
2021-02-14,1.1987601500405089e-06,0.6666666666666666,傈合
2021-02-15,2.305307980847132e-06,0.5,傈合
2021-06-13,1.198760150040509e-06,0.5,傈合
2021-06-14,1.8442463846777058e-07,0.3333333333333333,傈合
