data,Ω≈∞Ì¿œ
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,1.0
2020-05-09,3.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,3.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,2.0
2020-05-18,1.0
2020-05-19,2.0
2020-05-20,4.0
2020-05-21,7.0
2020-05-22,11.0
2020-05-23,1.0
2020-05-24,1.0
2020-05-25,3.0
2020-05-26,11.0
2020-05-27,19.0
2020-05-28,15.0
2020-05-29,6.0
2020-05-30,2.0
2020-05-31,11.0
2020-06-01,10.0
2020-06-02,4.0
2020-06-03,6.0
2020-06-04,6.0
2020-06-05,6.0
2020-06-06,9.0
2020-06-07,5.0
2020-06-08,15.0
2020-06-09,7.0
2020-06-10,6.0
2020-06-11,5.0
2020-06-12,7.0
2020-06-13,3.0
2020-06-14,3.0
2020-06-15,2.0
2020-06-16,4.0
2020-06-17,7.0
2020-06-18,1.0
2020-06-19,6.0
2020-06-20,2.0
2020-06-21,0.0
2020-06-22,4.0
2020-06-23,4.0
2020-06-24,5.0
2020-06-25,2.0
2020-06-26,11.0
2020-06-27,7.0
2020-06-28,7.0
2020-06-29,7.0
2020-06-30,6.0
2020-07-01,9.0
2020-07-02,10.0
2020-07-03,9.0
2020-07-04,1.0
2020-07-05,5.0
2020-07-06,6.0
2020-07-07,2.0
2020-07-08,0.0
2020-07-09,2.0
2020-07-10,3.0
2020-07-11,1.0
2020-07-12,4.0
2020-07-13,2.0
2020-07-14,2.0
2020-07-15,3.0
2020-07-16,1.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,6.0
2020-07-21,3.0
2020-07-22,17.0
2020-07-23,5.0
2020-07-24,5.0
2020-07-25,3.0
2020-07-26,0.0
2020-07-27,3.0
2020-07-28,1.0
2020-07-29,0.0
2020-07-30,3.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,2.0
2020-08-04,1.0
2020-08-05,5.0
2020-08-06,4.0
2020-08-07,6.0
2020-08-08,4.0
2020-08-09,5.0
2020-08-10,8.0
2020-08-11,10.0
2020-08-12,11.0
2020-08-13,19.0
2020-08-14,85.0
2020-08-15,42.0
2020-08-16,45.0
2020-08-17,68.0
2020-08-18,55.0
2020-08-19,60.0
2020-08-20,69.0
2020-08-21,69.0
2020-08-22,69.0
2020-08-23,47.0
2020-08-24,51.0
2020-08-25,47.0
2020-08-26,67.0
2020-08-27,77.0
2020-08-28,50.0
2020-08-29,40.0
2020-08-30,43.0
2020-08-31,44.0
2020-09-01,50.0
2020-09-02,25.0
2020-09-03,31.0
2020-09-04,35.0
2020-09-05,25.0
2020-09-06,17.0
2020-09-07,19.0
2020-09-08,32.0
2020-09-09,32.0
2020-09-10,28.0
