data,Ω≈∞Ì¿œ
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,1.0
2020-05-06,0.0
2020-05-07,13.0
2020-05-08,10.0
2020-05-09,14.0
2020-05-10,18.0
2020-05-11,7.0
2020-05-12,7.0
2020-05-13,4.0
2020-05-14,15.0
2020-05-15,1.0
2020-05-16,2.0
2020-05-17,5.0
2020-05-18,3.0
2020-05-19,5.0
2020-05-20,1.0
2020-05-21,4.0
2020-05-22,2.0
2020-05-23,8.0
2020-05-24,3.0
2020-05-25,9.0
2020-05-26,26.0
2020-05-27,21.0
2020-05-28,8.0
2020-05-29,8.0
2020-05-30,2.0
2020-05-31,5.0
2020-06-01,17.0
2020-06-02,15.0
2020-06-03,11.0
2020-06-04,27.0
2020-06-05,20.0
2020-06-06,24.0
2020-06-07,19.0
2020-06-08,10.0
2020-06-09,14.0
2020-06-10,23.0
2020-06-11,32.0
2020-06-12,15.0
2020-06-13,8.0
2020-06-14,5.0
2020-06-15,14.0
2020-06-16,23.0
2020-06-17,13.0
2020-06-18,17.0
2020-06-19,16.0
2020-06-20,9.0
2020-06-21,4.0
2020-06-22,8.0
2020-06-23,7.0
2020-06-24,10.0
2020-06-25,19.0
2020-06-26,9.0
2020-06-27,9.0
2020-06-28,7.0
2020-06-29,5.0
2020-06-30,11.0
2020-07-01,13.0
2020-07-02,12.0
2020-07-03,7.0
2020-07-04,8.0
2020-07-05,3.0
2020-07-06,3.0
2020-07-07,4.0
2020-07-08,4.0
2020-07-09,7.0
2020-07-10,5.0
2020-07-11,8.0
2020-07-12,6.0
2020-07-13,9.0
2020-07-14,7.0
2020-07-15,6.0
2020-07-16,5.0
2020-07-17,4.0
2020-07-18,11.0
2020-07-19,12.0
2020-07-20,10.0
2020-07-21,13.0
2020-07-22,14.0
2020-07-23,12.0
2020-07-24,13.0
2020-07-25,5.0
2020-07-26,5.0
2020-07-27,4.0
2020-07-28,6.0
2020-07-29,3.0
2020-07-30,7.0
2020-07-31,1.0
2020-08-01,5.0
2020-08-02,3.0
2020-08-03,5.0
2020-08-04,4.0
2020-08-05,5.0
2020-08-06,10.0
2020-08-07,16.0
2020-08-08,3.0
2020-08-09,8.0
2020-08-10,7.0
2020-08-11,16.0
2020-08-12,20.0
2020-08-13,47.0
2020-08-14,126.0
2020-08-15,89.0
2020-08-16,95.0
2020-08-17,135.0
2020-08-18,135.0
2020-08-19,123.0
2020-08-20,132.0
2020-08-21,110.0
2020-08-22,118.0
2020-08-23,92.0
2020-08-24,139.0
2020-08-25,136.0
2020-08-26,119.0
2020-08-27,131.0
2020-08-28,116.0
2020-08-29,118.0
2020-08-30,66.0
2020-08-31,100.0
2020-09-01,81.0
2020-09-02,60.0
2020-09-03,64.0
2020-09-04,48.0
2020-09-05,48.0
2020-09-06,56.0
2020-09-07,42.0
2020-09-08,44.0
2020-09-09,35.0
2020-09-10,59.0
